,method,seed,mse,mean,std,params,time
91,lowR-same-param,951,0.12198337912559509,0.2734791934490204,0.21766389906406403,128,5.7220458984375e-05
92,lowR-samex2,951,0.0328470915555954,0.14160089194774628,0.11334224790334702,128,5.7697296142578125e-05
93,lowR-half,951,0.0328470915555954,0.14160089194774628,0.11334224790334702,256,5.459785461425781e-05
94,pair-Add,951,4.793607999431515e-08,0.0001680108834989369,0.0001406616938766092,512,0.0011615753173828125
95,pair-Seq,951,0.00010607474541757256,0.007840249687433243,0.006691797636449337,512,0.0011343955993652344
96,pair,753,0.18240457773208618,0.33189207315444946,0.26932430267333984,128,0.00026154518127441406
97,block-sqrt-half,753,0.18240460753440857,0.33189085125923157,0.269325852394104,128,0.00023412704467773438
98,block-sqrt,753,0.14631220698356628,0.301006555557251,0.23648618161678314,128,0.000118255615234375
99,lowR-same-param,753,0.15656611323356628,0.3154977858066559,0.2392715960741043,128,0.00010395050048828125
100,lowR-samex2,753,0.0380031019449234,0.1527327299118042,0.12138107419013977,128,4.863739013671875e-05
101,lowR-half,753,0.0380031019449234,0.1527327299118042,0.12138107419013977,256,4.935264587402344e-05
102,pair-Add,753,7.828124637399014e-08,0.0001855640293797478,0.00020980750559829175,512,0.0011398792266845703
103,pair-Seq,753,6.440153811126947e-05,0.006004939321428537,0.005334171466529369,512,0.0011489391326904297
