,method,seed,mse,mean,std,params,time
54,pair-Add,741,0.13672859966754913,0.2940872311592102,0.22414742410182953,32768,0.004036903381347656
55,pair-Seq,741,0.14027096331119537,0.3012514114379883,0.222529336810112,32768,0.00400090217590332
56,pair,852,0.3046942353248596,0.4706116020679474,0.28847911953926086,4096,0.0004966259002685547
57,block-sqrt-half,852,0.2953650951385498,0.4604950249195099,0.2886359393596649,6144,0.00017404556274414062
58,block-sqrt,852,0.312584787607193,0.4683563709259033,0.3053334355354309,8192,0.000118255615234375
59,lowR-same-param,852,0.26333609223365784,0.42980659008026123,0.2803633213043213,8192,5.221366882324219e-05
60,lowR-samex2,852,0.2080903947353363,0.37463176250457764,0.260273814201355,8192,4.0531158447265625e-05
61,lowR-half,852,0.03484099358320236,0.14906251430511475,0.11234568059444427,65536,4.0531158447265625e-05
62,pair-Add,852,0.13688600063323975,0.29449719190597534,0.22396020591259003,32768,0.004072427749633789
63,pair-Seq,852,0.14187586307525635,0.3026600480079651,0.22421762347221375,32768,0.004045009613037109
64,pair,963,0.30419743061065674,0.47081777453422546,0.2872791588306427,4096,0.0004794597625732422
65,block-sqrt-half,963,0.2945597171783447,0.4603087306022644,0.2875358760356903,6144,0.0001723766326904297
66,block-sqrt,963,0.3115476667881012,0.46789678931236267,0.30433809757232666,8192,0.00010895729064941406
67,lowR-same-param,963,0.2638137638568878,0.43004411458969116,0.2808505594730377,8192,5.125999450683594e-05
68,lowR-samex2,963,0.20841136574745178,0.37402257323265076,0.2617623507976532,8192,4.172325134277344e-05
69,lowR-half,963,0.035061948001384735,0.1493312120437622,0.1129705086350441,65536,4.100799560546875e-05
70,pair-Add,963,0.1360367387533188,0.2931375205516815,0.22384792566299438,32768,0.0039365291595458984
71,pair-Seq,963,0.1412440836429596,0.3026226758956909,0.22285500168800354,32768,0.003985404968261719
72,pair,159,0.30614808201789856,0.4730364680290222,0.28702932596206665,4096,0.0004916191101074219
73,block-sqrt-half,159,0.29554715752601624,0.46139630675315857,0.2875097990036011,6144,0.0001666545867919922
74,block-sqrt,159,0.3131771981716156,0.46945613622665405,0.30461373925209045,8192,0.00011396408081054688
75,lowR-same-param,159,0.26364457607269287,0.4303249716758728,0.2801181972026825,8192,5.412101745605469e-05
76,lowR-samex2,159,0.20798982679843903,0.3739173412322998,0.2611066401004791,8192,4.38690185546875e-05
77,lowR-half,159,0.035138241946697235,0.14936035871505737,0.11326923966407776,65536,4.1484832763671875e-05
78,pair-Add,159,0.13698740303516388,0.29446402192115784,0.2242300808429718,32768,0.0041811466217041016
79,pair-Seq,159,0.14074166119098663,0.30145809054374695,0.22330568730831146,32768,0.004058122634887695
80,pair,357,0.305189311504364,0.47138363122940063,0.2880764901638031,4096,0.0005025863647460938
81,block-sqrt-half,357,0.2955988347530365,0.4609532952308655,0.28830909729003906,6144,0.0001685619354248047
82,block-sqrt,357,0.3126344084739685,0.4685060977935791,0.3051850199699402,8192,0.00011849403381347656
83,lowR-same-param,357,0.263746976852417,0.4308542013168335,0.27948668599128723,8192,5.125999450683594e-05
84,lowR-samex2,357,0.20867151021957397,0.37511807680130005,0.2606894373893738,8192,4.3392181396484375e-05
85,lowR-half,357,0.0351911336183548,0.14964596927165985,0.11312565952539444,65536,4.2438507080078125e-05
86,pair-Add,357,0.13648657500743866,0.29311370849609375,0.22488157451152802,32768,0.0041522979736328125
87,pair-Seq,357,0.14076204597949982,0.3015357255935669,0.22324657440185547,32768,0.0039141178131103516
88,pair,951,0.30417102575302124,0.4698895812034607,0.2887491285800934,4096,0.0004944801330566406
89,block-sqrt-half,951,0.2956843376159668,0.4608474373817444,0.28862643241882324,6144,0.00017213821411132812
90,block-sqrt,951,0.31246116757392883,0.4683085083961487,0.3052043616771698,8192,0.00011157989501953125
91,lowR-same-param,951,0.2624494433403015,0.4286782145500183,0.2805096507072449,8192,5.269050598144531e-05
92,lowR-samex2,951,0.20679400861263275,0.3731316924095154,0.2599380612373352,8192,4.267692565917969e-05
93,lowR-half,951,0.035121213644742966,0.14954456686973572,0.11295054107904434,65536,4.267692565917969e-05
94,pair-Add,951,0.1361222267150879,0.2939772307872772,0.22293579578399658,32768,0.003942966461181641
95,pair-Seq,951,0.14059869945049286,0.30173254013061523,0.2226138561964035,32768,0.0040323734283447266
96,pair,753,0.30273282527923584,0.4694046378135681,0.2870424687862396,4096,0.0005018711090087891
97,block-sqrt-half,753,0.2931159734725952,0.45870286226272583,0.2875916063785553,6144,0.00017499923706054688
98,block-sqrt,753,0.31065839529037476,0.46712252497673035,0.30406635999679565,8192,0.00010967254638671875
99,lowR-same-param,753,0.2616580128669739,0.42865189909935,0.27913570404052734,8192,5.1975250244140625e-05
100,lowR-samex2,753,0.2062249481678009,0.37246227264404297,0.2598034739494324,8192,4.315376281738281e-05
101,lowR-half,753,0.03499820828437805,0.149228036403656,0.11282462626695633,65536,4.124641418457031e-05
102,pair-Add,753,0.13490937650203705,0.291823148727417,0.2230457067489624,32768,0.004039764404296875
103,pair-Seq,753,0.14030298590660095,0.3010549545288086,0.22286690771579742,32768,0.004024505615234375
